"CLIENTNUM","Attrition_Flag","Customer_Age","Gender","Dependent_count","Education_Level","Marital_Status","Income_Category","Card_Category","Months_on_book","Total_Relationship_Count","Months_Inactive_12_mon","Contacts_Count_12_mon","Credit_Limit","Total_Revolving_Bal","Avg_Open_To_Buy","Total_Amt_Chng_Q4_Q1","Total_Trans_Amt","Total_Trans_Ct","Total_Ct_Chng_Q4_Q1","Avg_Utilization_Ratio","Cluster"
768805383,"Existing Customer",45,"M",3,"High School","Married","$60K - $80K","Blue",39,5,1,3,12691,777,11914,1.335,1144,42,1.625,0.061,"6"
713982108,"Existing Customer",51,"M",3,"Graduate","Married","$80K - $120K","Blue",36,4,1,0,3418,0,3418,2.594,1887,20,2.333,0,"6"
709106358,"Existing Customer",40,"M",3,"Uneducated","Married","$60K - $80K","Blue",21,5,1,0,4716,0,4716,2.175,816,28,2.5,0,"6"
713061558,"Existing Customer",44,"M",2,"Graduate","Married","$40K - $60K","Blue",36,3,1,2,4010,1247,2763,1.376,1088,24,0.846,0.311,"6"
710821833,"Existing Customer",65,"M",1,"Unknown","Married","$40K - $60K","Blue",54,6,2,3,9095,1587,7508,1.433,1314,26,1.364,0.174,"6"
753327333,"Existing Customer",41,"M",3,"Unknown","Married","$80K - $120K","Blue",34,4,4,1,13535,1291,12244,0.653,1028,21,1.625,0.095,"6"
806160108,"Existing Customer",61,"M",1,"High School","Married","$40K - $60K","Blue",56,2,2,3,3193,2517,676,1.831,1336,30,1.143,0.788,"6"
784725333,"Existing Customer",41,"M",3,"High School","Married","$40K - $60K","Blue",33,4,2,1,4470,680,3790,1.608,931,18,1.571,0.152,"6"
789124683,"Existing Customer",54,"M",2,"Unknown","Married","$80K - $120K","Blue",42,4,2,3,12217,0,12217,1.075,1110,21,0.75,0,"6"
804424383,"Existing Customer",63,"M",1,"Unknown","Married","$60K - $80K","Blue",56,3,3,2,10215,1010,9205,0.843,1904,40,1,0.099,"6"
806624208,"Existing Customer",47,"M",4,"High School","Married","$40K - $60K","Blue",42,6,0,0,4785,1362,3423,0.739,1045,38,0.9,0.285,"6"
778348233,"Existing Customer",53,"M",3,"Unknown","Married","$80K - $120K","Blue",33,3,2,3,2753,1811,942,0.977,1038,25,2.571,0.658,"6"
712991808,"Existing Customer",53,"M",2,"Uneducated","Married","$60K - $80K","Blue",48,2,5,1,2451,1690,761,1.323,1596,26,1.6,0.69,"6"
709029408,"Existing Customer",41,"M",4,"Graduate","Married","$60K - $80K","Blue",36,4,1,2,8923,2517,6406,1.726,1589,24,1.667,0.282,"6"
787937058,"Existing Customer",58,"M",0,"Graduate","Married","$80K - $120K","Blue",49,6,2,2,12555,1696,10859,0.519,1291,24,0.714,0.135,"6"
758551608,"Existing Customer",51,"M",2,"Unknown","Married","$40K - $60K","Blue",44,4,1,0,6205,2204,4001,0.803,1347,28,0.556,0.355,"6"
778493808,"Existing Customer",49,"M",3,"High School","Married","$60K - $80K","Blue",37,5,2,1,3906,0,3906,1.214,1756,32,1,0,"6"
789172683,"Existing Customer",56,"M",2,"Doctorate","Married","$60K - $80K","Blue",45,6,2,0,2283,1430,853,2.316,1741,27,0.588,0.626,"6"
738406533,"Existing Customer",59,"M",1,"Doctorate","Married","$40K - $60K","Blue",52,3,2,2,2548,2020,528,2.357,1719,27,1.7,0.793,"6"
799723908,"Existing Customer",46,"M",3,"High School","Married","$80K - $120K","Blue",40,4,3,3,19458,1435,18023,0.787,1217,27,0.8,0.074,"6"
712813458,"Existing Customer",49,"M",2,"Unknown","Married","$120K +","Blue",36,4,2,0,19763,2517,17246,0.664,1414,35,0.25,0.127,"6"
714374133,"Attrited Customer",56,"M",2,"Graduate","Married","$120K +","Blue",36,1,3,3,15769,0,15769,1.041,602,15,0.364,0,"6"
768563658,"Existing Customer",56,"M",2,"Uneducated","Married","$40K - $60K","Blue",50,4,2,3,4458,1880,2578,1.107,1424,29,1.417,0.422,"6"
787584108,"Existing Customer",55,"M",3,"Unknown","Married","$80K - $120K","Blue",47,4,2,3,3436,2016,1420,0.901,1097,33,0.833,0.587,"6"
807986133,"Existing Customer",57,"M",2,"College","Married","$60K - $80K","Blue",52,5,3,3,6584,1817,4767,0.62,1353,35,0.667,0.276,"6"
711314058,"Existing Customer",49,"M",2,"Graduate","Married","$60K - $80K","Blue",32,2,2,2,1687,1107,580,1.715,1670,17,2.4,0.656,"6"
717975333,"Existing Customer",50,"M",2,"Doctorate","Married","$80K - $120K","Blue",38,6,2,2,25300,1330,23970,1.072,837,15,2,0.053,"6"
820582308,"Existing Customer",42,"M",5,"Uneducated","Married","$80K - $120K","Blue",37,6,2,2,22913,1528,21385,0.414,1394,35,0.522,0.067,"6"
710790258,"Existing Customer",47,"M",2,"Graduate","Married","$80K - $120K","Blue",38,6,3,2,28904,1899,27005,0.85,1334,35,0.4,0.066,"6"
715623483,"Existing Customer",47,"M",3,"Graduate","Married","$60K - $80K","Blue",37,4,4,0,8567,1695,6872,1.242,1457,41,1.412,0.198,"6"
