"CLIENTNUM","Attrition_Flag","Customer_Age","Gender","Dependent_count","Education_Level","Marital_Status","Income_Category","Card_Category","Months_on_book","Total_Relationship_Count","Months_Inactive_12_mon","Contacts_Count_12_mon","Credit_Limit","Total_Revolving_Bal","Avg_Open_To_Buy","Total_Amt_Chng_Q4_Q1","Total_Trans_Amt","Total_Trans_Ct","Total_Ct_Chng_Q4_Q1","Avg_Utilization_Ratio","Cluster"
818770008,"Existing Customer",49,"F",5,"Graduate","Single","Less than $40K","Blue",44,6,1,2,8256,864,7392,1.541,1291,33,3.714,0.105,"1"
811604133,"Existing Customer",47,"F",4,"Unknown","Single","Less than $40K","Blue",36,3,3,2,2492,1560,932,0.573,1126,23,0.353,0.626,"1"
771071958,"Existing Customer",41,"F",3,"Graduate","Single","Less than $40K","Blue",28,6,1,2,7768,1669,6099,0.797,1051,22,0.833,0.215,"1"
718813833,"Existing Customer",44,"F",3,"Uneducated","Single","Unknown","Blue",34,5,2,2,10100,0,10100,0.525,1052,18,1.571,0,"1"
715318008,"Existing Customer",55,"F",1,"College","Single","Less than $40K","Blue",36,4,2,1,3520,1914,1606,0.51,1407,43,0.483,0.544,"1"
720572508,"Existing Customer",38,"F",4,"Graduate","Single","Unknown","Blue",28,2,3,3,9830,2055,7775,0.977,1042,23,0.917,0.209,"1"
716632758,"Existing Customer",49,"F",3,"Graduate","Single","Less than $40K","Blue",36,2,2,0,2802,2363,439,0.75,1295,40,0.6,0.843,"1"
788730933,"Existing Customer",44,"F",2,"Uneducated","Single","Less than $40K","Blue",20,6,3,3,2084,1468,616,1.004,1132,28,0.556,0.704,"1"
804595158,"Existing Customer",44,"F",4,"Graduate","Single","Less than $40K","Blue",36,6,4,2,7000,2517,4483,0.475,1112,23,1.875,0.36,"1"
714826758,"Existing Customer",37,"F",3,"Uneducated","Single","Less than $40K","Blue",29,4,4,2,7038,1801,5237,0.751,2339,57,0.966,0.256,"1"
711743883,"Existing Customer",43,"F",3,"Uneducated","Single","Less than $40K","Blue",35,5,2,3,4026,0,4026,0.483,1237,32,0.6,0,"1"
717539808,"Existing Customer",51,"F",2,"High School","Single","Less than $40K","Blue",36,3,2,2,9930,0,9930,0.731,1276,21,1.333,0,"1"
714778833,"Existing Customer",49,"F",3,"College","Single","Unknown","Blue",43,4,4,0,23032,1960,21072,0.619,1289,22,1,0.085,"1"
721091583,"Existing Customer",44,"F",2,"Graduate","Single","Less than $40K","Blue",32,3,3,3,3031,1879,1152,0.788,1298,15,1.5,0.62,"1"
785387883,"Existing Customer",47,"F",3,"High School","Single","$40K - $60K","Blue",41,4,3,3,3788,1540,2248,0.566,1594,47,0.382,0.407,"1"
708296883,"Existing Customer",44,"F",3,"Graduate","Single","$40K - $60K","Blue",38,3,1,0,11749,788,10961,0.688,1178,27,0.929,0.067,"1"
715674483,"Existing Customer",39,"F",2,"Post-Graduate","Single","Less than $40K","Blue",27,4,2,2,6205,2517,3688,0.939,1204,19,0.727,0.406,"1"
718744008,"Existing Customer",59,"F",1,"Graduate","Single","Less than $40K","Blue",36,3,2,3,6335,1128,5207,0.397,1217,20,0.667,0.178,"1"
716104983,"Existing Customer",41,"F",2,"Graduate","Single","Less than $40K","Blue",32,6,3,2,2250,2117,133,1.162,1617,31,2.875,0.941,"1"
713539833,"Existing Customer",48,"F",4,"High School","Single","$40K - $60K","Blue",38,6,1,3,8135,0,8135,1.373,1716,29,0.812,0,"1"
714133158,"Existing Customer",59,"F",1,"College","Single","Unknown","Blue",36,2,3,3,4224,1305,2919,0.852,1152,31,0.824,0.309,"1"
721148358,"Existing Customer",49,"F",3,"Uneducated","Single","Unknown","Blue",38,6,2,1,12860,0,12860,0.646,1348,27,0.286,0,"1"
812627208,"Existing Customer",60,"F",0,"College","Single","Less than $40K","Blue",55,5,1,3,1438.3,738,700.3,0.782,1226,33,0.571,0.513,"1"
718876683,"Existing Customer",43,"F",4,"Graduate","Single","Less than $40K","Blue",31,5,2,0,5781,1168,4613,0.638,1600,32,0.455,0.202,"1"
713779908,"Existing Customer",46,"F",3,"Doctorate","Single","Unknown","Blue",36,6,3,2,2189,1666,523,0.343,1287,36,0.636,0.761,"1"
714187533,"Existing Customer",45,"F",2,"Uneducated","Single","$40K - $60K","Blue",35,2,3,0,3540,849,2691,0.456,1321,28,0.75,0.24,"1"
708421833,"Existing Customer",45,"F",4,"Graduate","Single","Less than $40K","Blue",36,6,3,2,3342,2517,825,0.771,1139,30,0.765,0.753,"1"
770632758,"Existing Customer",50,"F",4,"Doctorate","Single","Unknown","Blue",36,2,3,2,2521,1608,913,0.587,1328,33,0.571,0.638,"1"
714426783,"Existing Customer",38,"F",2,"Graduate","Single","Unknown","Blue",31,2,3,2,14041,2154,11887,1.084,1467,29,1.417,0.153,"1"
770590758,"Existing Customer",43,"F",3,"Graduate","Single","$40K - $60K","Blue",29,5,2,0,3378,1069,2309,0.581,1285,16,0.333,0.316,"1"
