"CLIENTNUM","Attrition_Flag","Customer_Age","Gender","Dependent_count","Education_Level","Marital_Status","Income_Category","Card_Category","Months_on_book","Total_Relationship_Count","Months_Inactive_12_mon","Contacts_Count_12_mon","Credit_Limit","Total_Revolving_Bal","Avg_Open_To_Buy","Total_Amt_Chng_Q4_Q1","Total_Trans_Amt","Total_Trans_Ct","Total_Ct_Chng_Q4_Q1","Avg_Utilization_Ratio","Cluster"
708508758,"Attrited Customer",62,"F",0,"Graduate","Married","Less than $40K","Blue",49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0,"2"
785432733,"Existing Customer",42,"F",4,"High School","Married","Less than $40K","Gold",36,2,3,3,15433,0,15433,0.865,966,22,1.2,0,"2"
708300483,"Attrited Customer",66,"F",0,"Doctorate","Married","Unknown","Blue",56,5,4,3,7882,605,7277,1.052,704,16,0.143,0.077,"2"
779471883,"Attrited Customer",54,"F",1,"Graduate","Married","Less than $40K","Blue",40,2,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562,"2"
711013983,"Attrited Customer",55,"F",4,"Unknown","Married","$40K - $60K","Blue",45,2,4,3,2158,0,2158,0.585,615,12,0.714,0,"2"
716657058,"Existing Customer",43,"F",4,"Post-Graduate","Married","Less than $40K","Blue",33,2,3,3,8358,926,7432,0.762,1566,37,0.542,0.111,"2"
808284783,"Existing Customer",62,"F",1,"Unknown","Married","Less than $40K","Blue",56,6,0,0,1438.3,0,1438.3,0.813,1951,44,1.095,0,"2"
789322833,"Attrited Customer",48,"F",5,"High School","Married","Less than $40K","Blue",38,1,3,3,8025,0,8025,0.654,673,18,0.8,0,"2"
712950783,"Attrited Customer",48,"F",4,"Uneducated","Married","Less than $40K","Blue",38,3,2,3,2732,0,2732,0.76,739,16,0.455,0,"2"
713786508,"Existing Customer",42,"F",5,"Unknown","Married","$40K - $60K","Blue",36,3,3,3,2038,0,2038,0.786,1238,28,0.75,0,"2"
779956608,"Existing Customer",41,"F",2,"Post-Graduate","Married","Unknown","Blue",31,6,1,3,20758,0,20758,0.688,1555,32,0.684,0,"2"
720476733,"Existing Customer",47,"F",3,"High School","Married","Less than $40K","Blue",34,2,1,2,6028,799,5229,0.819,1002,22,0.571,0.133,"2"
719808558,"Attrited Customer",55,"F",2,"Graduate","Married","Less than $40K","Blue",43,2,4,3,1438.3,0,1438.3,0.707,886,27,0.421,0,"2"
772336458,"Attrited Customer",60,"F",1,"Uneducated","Married","$40K - $60K","Blue",50,4,4,3,1438.3,1025,413.3,0.838,702,12,0.714,0.713,"2"
708874533,"Attrited Customer",45,"F",2,"College","Married","Less than $40K","Blue",36,1,3,2,3387,0,3387,0.789,510,24,0.6,0,"2"
778867533,"Attrited Customer",59,"F",0,"Post-Graduate","Married","$40K - $60K","Blue",40,1,4,1,1438.3,0,1438.3,1.038,689,23,0.353,0,"2"
771809733,"Attrited Customer",64,"F",0,"High School","Married","$40K - $60K","Blue",53,1,3,3,3353,0,3353,1.021,960,18,0.385,0,"2"
718621608,"Attrited Customer",54,"F",2,"High School","Married","Unknown","Blue",44,3,3,1,6094,0,6094,1.129,909,14,0.273,0,"2"
710572458,"Existing Customer",36,"F",3,"High School","Married","Unknown","Blue",24,4,1,1,15439,0,15439,0.742,2069,43,0.536,0,"2"
711643458,"Existing Customer",50,"F",1,"Uneducated","Married","Less than $40K","Blue",43,6,3,4,1438.3,0,1438.3,1.068,1439,41,1.05,0,"2"
716568708,"Existing Customer",47,"F",2,"Graduate","Married","Less than $40K","Blue",36,6,3,2,2726,0,2726,0.844,1099,27,0.588,0,"2"
710940183,"Attrited Customer",49,"F",3,"Graduate","Married","Less than $40K","Blue",38,6,3,2,2185,0,2185,0.727,715,20,0.818,0,"2"
712159083,"Attrited Customer",58,"F",4,"Unknown","Married","Less than $40K","Blue",46,2,3,3,2536,0,2536,0.917,901,35,0.522,0,"2"
778465533,"Existing Customer",54,"F",0,"College","Married","Less than $40K","Blue",40,3,1,2,1638,0,1638,0.75,1885,51,0.545,0,"2"
709345008,"Attrited Customer",53,"F",2,"Doctorate","Married","Unknown","Blue",39,1,2,3,1438.3,0,1438.3,0.644,807,22,0.692,0,"2"
721057758,"Existing Customer",61,"F",1,"Unknown","Married","Unknown","Blue",47,4,2,3,1438.3,0,1438.3,1.337,1449,27,1.455,0,"2"
