"CLIENTNUM","Attrition_Flag","Customer_Age","Gender","Dependent_count","Education_Level","Marital_Status","Income_Category","Card_Category","Months_on_book","Total_Relationship_Count","Months_Inactive_12_mon","Contacts_Count_12_mon","Credit_Limit","Total_Revolving_Bal","Avg_Open_To_Buy","Total_Amt_Chng_Q4_Q1","Total_Trans_Amt","Total_Trans_Ct","Total_Ct_Chng_Q4_Q1","Avg_Utilization_Ratio","Cluster"
806165208,"Existing Customer",47,"M",1,"Doctorate","Divorced","$60K - $80K","Blue",42,5,2,0,20979,1800,19179,0.906,1178,27,0.929,0.086,"7"
711481533,"Existing Customer",39,"M",1,"High School","Divorced","$60K - $80K","Blue",33,5,3,3,5926,1251,4675,0.944,1316,28,1.154,0.211,"7"
779058108,"Existing Customer",49,"M",3,"Graduate","Divorced","$60K - $80K","Blue",30,6,1,2,2536,1823,713,0.703,1468,23,0.353,0.719,"7"
794543958,"Existing Customer",53,"M",1,"Graduate","Divorced","$80K - $120K","Blue",35,5,4,2,34516,1219,33297,1.129,1590,27,2,0.035,"7"
708476808,"Existing Customer",54,"M",4,"Unknown","Divorced","$120K +","Blue",36,6,3,2,33791,1960,31831,0.618,1047,31,0.824,0.058,"7"
799825758,"Existing Customer",42,"M",4,"High School","Divorced","$60K - $80K","Blue",36,5,1,2,3263,1674,1589,0.588,1251,35,0.346,0.513,"7"
719154483,"Existing Customer",53,"M",2,"High School","Divorced","$60K - $80K","Blue",36,5,3,2,7753,2100,5653,0.839,991,26,0.733,0.271,"7"
717721458,"Existing Customer",45,"M",4,"College","Divorced","$60K - $80K","Blue",40,5,1,0,10408,1186,9222,1.689,2560,42,1.211,0.114,"7"
718803333,"Existing Customer",43,"F",4,"Graduate","Divorced","Less than $40K","Blue",34,2,3,1,3195,1954,1241,0.971,1285,29,0.706,0.612,"7"
714791208,"Existing Customer",47,"F",4,"Unknown","Divorced","Less than $40K","Blue",41,6,5,3,3482,2114,1368,0.508,1039,24,0.263,0.607,"7"
716493408,"Existing Customer",45,"F",4,"Uneducated","Divorced","Unknown","Blue",36,4,3,3,15875,1719,14156,0.86,1592,37,1.467,0.108,"7"
714964758,"Existing Customer",45,"F",5,"Graduate","Divorced","$40K - $60K","Blue",36,5,2,2,10400,1777,8623,0.791,1105,28,0.867,0.171,"7"
711441333,"Existing Customer",43,"F",1,"High School","Divorced","Less than $40K","Silver",35,3,2,2,10514,1580,8934,0.504,1229,27,0.8,0.15,"7"
803043933,"Existing Customer",44,"F",3,"Uneducated","Divorced","Less than $40K","Silver",38,4,1,3,11127,1835,9292,2.368,1546,25,1.273,0.165,"7"
714171108,"Existing Customer",48,"F",3,"Graduate","Divorced","$40K - $60K","Blue",39,6,2,3,2115,1141,974,0.616,1223,20,0.538,0.539,"7"
719662458,"Existing Customer",44,"F",2,"Graduate","Divorced","Less than $40K","Blue",27,5,2,2,1438.3,679,759.3,0.859,1117,29,1.071,0.472,"7"
711297483,"Existing Customer",47,"F",2,"Uneducated","Divorced","Less than $40K","Silver",34,6,4,2,13878,2222,11656,0.853,1658,38,0.357,0.16,"7"
719437908,"Existing Customer",44,"M",3,"Post-Graduate","Divorced","$80K - $120K","Blue",36,6,2,2,17965,1644,16321,0.921,1767,50,0.923,0.092,"7"
708528483,"Existing Customer",43,"F",4,"Graduate","Divorced","Unknown","Blue",23,6,3,2,3187,2430,757,0.617,1387,33,1.357,0.762,"7"
717806133,"Existing Customer",40,"M",2,"Uneducated","Divorced","$60K - $80K","Blue",29,5,3,0,23603,0,23603,0.795,1382,31,1.067,0,"7"
