"CLIENTNUM","Attrition_Flag","Customer_Age","Gender","Dependent_count","Education_Level","Marital_Status","Income_Category","Card_Category","Months_on_book","Total_Relationship_Count","Months_Inactive_12_mon","Contacts_Count_12_mon","Credit_Limit","Total_Revolving_Bal","Avg_Open_To_Buy","Total_Amt_Chng_Q4_Q1","Total_Trans_Amt","Total_Trans_Ct","Total_Ct_Chng_Q4_Q1","Avg_Utilization_Ratio","Cluster"
810347208,"Existing Customer",51,"M",4,"Unknown","Married","$120K +","Gold",46,6,1,3,34516,2264,32252,1.975,1330,31,0.722,0.066,"3"
818906208,"Existing Customer",32,"M",0,"High School","Unknown","$60K - $80K","Silver",27,2,2,2,29081,1396,27685,2.204,1538,36,0.714,0.048,"3"
773146383,"Existing Customer",50,"F",1,"College","Single","$40K - $60K","Silver",43,3,2,3,17304,2517,14787,1.449,1756,33,1.2,0.145,"3"
712030833,"Attrited Customer",48,"M",2,"Graduate","Married","$60K - $80K","Silver",35,2,4,4,34516,0,34516,0.763,691,15,0.5,0,"3"
788979258,"Existing Customer",51,"M",4,"Uneducated","Single","$80K - $120K","Silver",38,4,1,4,34516,1515,33001,0.592,1293,32,0.6,0.044,"3"
713843283,"Existing Customer",41,"F",3,"Unknown","Married","Unknown","Silver",34,5,3,3,34516,2053,32463,1.034,1487,26,0.733,0.059,"3"
771075258,"Existing Customer",55,"M",2,"College","Single","$120K +","Silver",42,2,3,2,34516,1527,32989,0.526,1268,42,0.355,0.044,"3"
712215258,"Existing Customer",50,"F",1,"Graduate","Single","$40K - $60K","Silver",31,2,2,3,18386,0,18386,0.868,1298,22,0.571,0,"3"
718759833,"Existing Customer",44,"F",2,"Uneducated","Married","Unknown","Silver",35,4,3,2,32643,0,32643,1.3,1058,24,2.429,0,"3"
712608783,"Existing Customer",50,"M",2,"High School","Married","$80K - $120K","Silver",45,3,1,3,34516,1260,33256,0.588,1504,34,0.789,0.037,"3"
712977183,"Existing Customer",57,"F",2,"Uneducated","Single","$40K - $60K","Silver",36,6,3,0,19482,1072,18410,0.706,1421,22,1.444,0.055,"3"
770817783,"Existing Customer",47,"M",4,"Graduate","Married","$60K - $80K","Silver",33,3,2,1,34516,1679,32837,0.623,1060,27,0.5,0.049,"3"
779353083,"Existing Customer",47,"M",2,"Graduate","Married","$60K - $80K","Silver",32,4,2,2,34516,1468,33048,0.505,1330,32,0.684,0.043,"3"
710565408,"Existing Customer",59,"M",0,"Unknown","Unknown","$80K - $120K","Silver",40,3,2,3,34516,1359,33157,1.327,1033,26,1.364,0.039,"3"
798983508,"Existing Customer",43,"M",1,"Graduate","Single","$80K - $120K","Silver",37,4,3,2,34516,1440,33076,1.117,1575,34,2.4,0.042,"3"
819700533,"Existing Customer",50,"M",0,"High School","Single","$120K +","Silver",45,5,2,3,14938,2303,12635,0.804,949,27,2,0.154,"3"
779749908,"Existing Customer",48,"M",4,"College","Married","$60K - $80K","Gold",33,2,2,3,34516,2061,32455,0.722,1350,32,0.455,0.06,"3"
789270033,"Existing Customer",48,"M",3,"Graduate","Single","$80K - $120K","Silver",37,3,2,3,34516,0,34516,0.448,1122,13,0.182,0,"3"
720214833,"Existing Customer",52,"M",2,"High School","Single","$80K - $120K","Silver",40,3,3,3,34516,2177,32339,1.32,1234,23,1.875,0.063,"3"
718505958,"Existing Customer",43,"M",5,"Graduate","Divorced","$120K +","Silver",31,5,3,3,34516,1699,32817,0.771,1628,38,0.727,0.049,"3"
710865633,"Existing Customer",41,"F",2,"Graduate","Married","Less than $40K","Silver",33,4,2,0,12301,2250,10051,0.484,1307,29,0.261,0.183,"3"
721144383,"Existing Customer",42,"M",4,"Graduate","Married","$60K - $80K","Silver",28,5,1,2,28202,843,27359,0.637,1629,38,0.727,0.03,"3"
709311633,"Existing Customer",41,"M",2,"Graduate","Unknown","$60K - $80K","Silver",36,6,2,0,27000,0,27000,0.61,1209,39,0.3,0,"3"
709470858,"Existing Customer",51,"M",4,"College","Married","$120K +","Silver",31,5,2,1,34516,1254,33262,0.869,1366,25,0.786,0.036,"3"
710147958,"Existing Customer",47,"M",3,"High School","Married","$40K - $60K","Silver",36,3,2,2,16138,1249,14889,1.01,1198,33,0.833,0.077,"3"
712981383,"Existing Customer",44,"F",4,"College","Married","Less than $40K","Silver",37,3,2,2,10790,1930,8860,0.75,1052,16,1.286,0.179,"3"
788386908,"Existing Customer",48,"M",3,"Graduate","Unknown","$80K - $120K","Platinum",41,3,2,2,34516,1531,32985,0.862,1156,29,1.071,0.044,"3"
