"CLIENTNUM","Attrition_Flag","Customer_Age","Gender","Dependent_count","Education_Level","Marital_Status","Income_Category","Card_Category","Months_on_book","Total_Relationship_Count","Months_Inactive_12_mon","Contacts_Count_12_mon","Credit_Limit","Total_Revolving_Bal","Avg_Open_To_Buy","Total_Amt_Chng_Q4_Q1","Total_Trans_Amt","Total_Trans_Ct","Total_Ct_Chng_Q4_Q1","Avg_Utilization_Ratio","Cluster"
712396908,"Existing Customer",57,"F",2,"Graduate","Married","Less than $40K","Blue",48,5,2,2,2436,680,1756,1.19,1570,29,0.611,0.279,"4"
709327383,"Existing Customer",45,"F",2,"Graduate","Married","Unknown","Blue",37,6,1,2,14470,1157,13313,0.966,1207,21,0.909,0.08,"4"
788658483,"Existing Customer",53,"F",2,"College","Married","Less than $40K","Blue",38,5,2,3,2650,1490,1160,1.75,1411,28,1,0.562,"4"
713962233,"Existing Customer",55,"F",3,"Graduate","Married","Less than $40K","Blue",36,6,2,3,3035,2298,737,1.724,1877,37,1.176,0.757,"4"
720756708,"Existing Customer",52,"F",3,"Unknown","Married","Less than $40K","Blue",41,6,3,2,2622,1549,1073,1.321,1878,30,1.143,0.591,"4"
711525033,"Existing Customer",66,"F",0,"High School","Married","Less than $40K","Blue",54,3,4,2,3171,2179,992,1.224,1946,38,1.923,0.687,"4"
711427458,"Existing Customer",44,"F",5,"Graduate","Married","Unknown","Blue",35,4,1,2,6273,978,5295,2.275,1359,25,1.083,0.156,"4"
720096558,"Existing Customer",55,"F",2,"Graduate","Married","Less than $40K","Blue",42,5,3,3,2216,1034,1182,0.758,1540,36,0.286,0.467,"4"
755420433,"Existing Customer",59,"F",1,"Graduate","Married","Unknown","Blue",52,2,3,3,10133,1417,8716,0.383,1068,20,0.818,0.14,"4"
715550508,"Existing Customer",45,"F",3,"Unknown","Married","Unknown","Blue",28,5,1,2,2535,2440,95,1.705,1312,20,1.222,0.963,"4"
718619883,"Existing Customer",54,"F",0,"Uneducated","Married","Less than $40K","Blue",36,2,2,2,1494,706,788,1.674,1305,24,3,0.473,"4"
